reviewerID,overall,summary
A2IBPI20UZIR0U,5,good
A14VAT5EAX3D9S,5,Jake
A195EZSQDW3E21,5,It Does The Job Well
A2C00NNG1ZQQG2,5,GOOD WINDSCREEN FOR THE MONEY
A94QU4C90B1AX,5,No more pops when I record my vocals.
A2A039TZMZHH9Y,5,The Best Cable
A1UPZM995ZAH90,5,Monster Standard 100 - 21' Instrument Cable
AJNFQI3YR6XJ5,3,Didn't fit my 1996 Fender Strat...
A3M1PLEYNDEYO8,5,Great cable
AMNTZU1YQN1TH,5,Best Instrument Cables On The Market
A2NYK9KWFMJV4Y,5,One of the best instrument cables within the brand
A35QFQI0M46LWO,4,It works great but I hardly use it.
A2NIT6BKW11XJQ,3,HAS TO GET USE TO THE SIZE
A1C0O09LOLVI39,5,awesome
A17SLR18TUMULM,5,It works!
A2PD27UKAD3Q00,2,Definitely Not For The Seasoned Piano Player
AKSFZ4G1AXYFC,4,Durable Instrument Cable
A67OJZLHBBUQ9,5,fender 18 ft. Cali clear...
A2EZWZ8MBEDOLN,5,So far so good.  Will revisit at the 6 month mark ;)
A1CL807EOUPVP1,5,Add California to the name and I jump!
A1GMWTGXW682GB,4,"Cheap and cool looking, good length"
A2G12DY50U700V,5,Fender 18 Feet California Clear Instrument Cable - Lake Placid Blue
A3E0CF25A7LD2,4,Guitar Cable
A2W3CLAYZLDPTV,5,Quality cable!
A398X9POBHK69N,5,"I Got Great Pricing, But Still a Really Good Product"
AXWB93VKVML6K,4,Its a Hosa
A2FZ4Z0UFA1OR8,5,Quality and Secure
AXP9CF1UTFRSU,5,Midi to Midi
A2CCGGDGZ694CT,4,Very Heavy Cables At Affordable Price
A27DR1VO079F1V,5,Still going
A1LQC225SE8UNI,5,Does what it's supposed to do
AU9BPT3Y3K6J4,5,Good cable
A14Z9LAETO21KL,4,Good Enough
A2074KEJGRYJV4,5,Great little cord
A7TRK2GG6BHWD,5,Does the job. What more do you need?
A319B090A2POEB,4,Decent mic cable
A396ELNTQDFYPO,4,Decent inexpensive cable
A17CU1D2CWXOHB,4,a fine cable.
A1S0HTDO0P4N5V,5,Hosa is the best
A3DWQW2L39RB1S,4,"Excellent quality, exactly what I needed"
AQQ91U1U4YKDF,5,great value
AA5TINW2RJ195,5,Five Stars
ABC68JUCPTVOE,5,Pretty cheap cable that has lasted so far
A3W2E6S24BTXXK,5,very nice cable
A3872Y2XH0YDX1,5,"Nice guitar cable, even better price"
A398X9POBHK69N,4,Does What You Want
A13A81NN0NRD1S,4,"flexible, soft rubber is great."
A1EUO0BU72JR7T,5,"Works wonderfully, no noise"
A1H4WSC8JWS59N,5,excellent
A3OXHLG6DIBRW8,5,"Great Guitar Cable, Good Value - Highly Recommended"
A12ABV9NU02O29,2,Cannot recommend
A2U1Z3TZ4P76JB,5,Cable works as described
A1L7M2JXN4EZCR,1,I have bought many cables and this one is the only one that gives me problems
A37A41GWQFMK3D,4,gets the job done
A2JK2ITE138P7Z,5,Nice cable for the price
A1DVUFG2QSJ6IK,5,Well made audio cable
A34VZEFXQJJ7AT,5,Eh
A1SD1C8XK3Z3V1,5,"great, affordable, cord"
AKHWZ3S1UVZAO,4,Nice Cable
A3LNNEYLGGCO25,3,maybe not the best but it serves it's purpose
AMACM7BGUQCZD,5,High quality low cost
A38HMS5RYSYF8G,5,works as advertised....
A6D91KPQGIDKZ,5,Good cables
A2RCCN4KEXZGC8,5,No Complaints
A3GAP455S8YH0M,5,Good Quality
A1N06X05VZWO5Y,5,Perfect for practice!
A3TA1UJWRJF9NC,5,Nice high quality guitar cable
A3VPISTBNS66C5,4,Works well
A1E5FQZTUM8OC1,5,Well built cable
A3MYWHYZ30WLQJ,5,pperfect amp chord.for home use
A1FHOW9NVOH8XR,5,Hosa Cable GTR210 Guitar Instrument Cable - 10ft.
A319B090A2POEB,3,Standard guitar cable
A2VH0UT5EQFB6P,5,Hosa Electric Guitar Cable GTR210
A396ELNTQDFYPO,4,So Far So Good
A2WYAHJGST6AOT,3,average cable
A781ITP3HE2N5,5,"Good quality, low price"
AN73VQ17FZVJ8,3,Good for the Price
ALUTHT4U058KZ,4,"Feel a little flimsy and can see easily breaking, but the work"
A1A15ECLHM9BQY,5,Excellent
A1S8R9OAIQT7YI,4,Only complaint is the size which is my fault. ...
A3RHT4KI3H5TVH,5,worth it
AVY8D3ULJTX0H,5,Works
A15BHBF0L0HV1F,5,"Good quality, great price"
A1AFN4T80DZ3RR,5,Very good quality for an excellent price
A3DCG2MNPR4BW,5,Good cables at a good price!!
A3NGAQKJ6X088B,5,"works well, great quality"
A35XRT4BW4I6UD,5,Great Value
AKYDGCKCY7H9F,5,Good cables
A19NGYCQ1NCF3W,4,Very Solid Cables
A3UD50M7M72150,1,Crap
A2B78RXJ2PB6ZD,5,Works Good. No complaints!!!
A18RGYRCEN181M,5,Good guitar cable
A18LZ6VHS4DK69,5,hosa rocks
AQG6AQXC703WD,3,Does Its Job
A2YGWCX3DQ6ER0,5,good for direct connect to computer
A21VM9WVF8EOSJ,5,Does what it was intended for
A3M48SSAOTBSMW,5,Works as expected
AFLRU6952DEFX,4,Good for some uses
A1W3CEEQBJ4GTN,2,Measure your damned wires before sending them...
AXP9CF1UTFRSU,5,Recommend
A1IR3NR4KRPIJ1,5,"Product shipd as expected, but the listing for this item can be confusing"
A2NYK9KWFMJV4Y,5,Solved a big issue for me
A2RS66Y79Q8X0W,5,Good adapter cable
A34IJACMU8C3IM,4,Light Weight Cable For Stereo Mics With Limitations
A2WYF4POBUXL2O,4,Good construction
A3UPEG3LRWOX16,4,Nice Cables
A2QJQ3HSJB4NS,5,Perfect.
A1MVH1WLYDHZ49,5,GOOD INSERT CABLE
A2XXBZPQT5EXHV,5,Excellent Insert Cable
A204ETWOV23HO4,5,They work great
A203OCQQ12MAVT,5,I needed this for returns
A319B090A2POEB,5,Soundman must have insert cables
A3JUQ2E799OC5B,5,Good price vs. value. Works great for my home studio
A2PN3GY7I3EKC1,5,"Just the right product, just the right price"
A1FCX548TD6DLP,5,Use to Plug I-Pod into Guitar Amp
A35D9ODUCAMF5G,5,plugged it in and it works
A3UETHIJBL6MCV,5,Sound Engineer's Solution
A2Y8JW5NSY95OL,5,The exact cable I need for my application
A3FW4THIMBIN6V,4,Almost 5-Stars for the Price
AT09WGFUM934H,5,It works!
A1NAA1R38JSNHV,5,"Works good, good price"
A1F4KCBVDP8S25,5,"Inexpensive, not cheap"
A4BTCECGQAIUI,4,Good
AROOYR32BS1VL,4,Does the job
A2F2L5F9OWWVY6,5,Great pedal cable connectors!
A3PL8ENSYWS1PZ,5,Great Durable Pedal Cable
A23BIOQUMRC7K5,5,Works great
A27DR1VO079F1V,5,Good cables
A3OZC468867FW8,4,Works just fine
AJ3MI4QT7339J,5,"good product, still use it, hassle-free order"
A3OJ0RGAECAGH8,5,Good Budget Cable
A22LLQ00V32YZJ,4,just what you pay for
A1N06X05VZWO5Y,5,Just right.
A2LBHMQ3142G3S,5,"Decent connector, decent price"
AEG2MOBNK5KCA,5,Reliable and Great
A3V1A3C9DTLPME,5,No frill cordage...
A3200TEQBFSDRX,5,great
AFLRU6952DEFX,5,Possibly better than the metal ended ones
A3HLW3G0TA8GX1,4,"Nice tool, although not a transformer balancing device"
A9J03MF2689TS,5,Versatility...
AQFOCVEBDCYU9,5,No problems
A3GSBNVP2LPFRB,5,A quality adapter
A37U8NH2CD9EDX,4,It works
A1M957IA3QNX7X,4,Gets the job done
AEN6KDJ3AJDK6,2,Not what I thought
A17CU1D2CWXOHB,5,Its Affordable and it works.
ALHC64J88LVWO,5,Can't beat it
AKDQONDXN72MW,5,Works as intended
A3HLW3G0TA8GX1,4,"Nice utility, wish it had a little more length on the split cable"
A3M05N9UWHIXUI,5,Great Y cable
A28P7V9KI7MXP,5,Does what it needs to.
A26JHKA8SNXV6P,4,Great cables
A1VHCO8RQFIGQJ,5,Nice.
A2RS66Y79Q8X0W,5,Great Product for running a clean separate line of audio
A2H5GRB3XXEBX0,5,This product works great!!!!  Worth the extra money!!
A1LS2UXHG1BYRG,5,Magic Spray!
A3HCK3UXD6WS4G,5,Works well!
A2WT46GVYE1ZDD,3,There used to be better stuff
A2EZWZ8MBEDOLN,5,A Five Ounce Can Of Magic.
A2BRXREMT5WZJ0,5,It's magic in a can
A1L7M2JXN4EZCR,4,Used it on my printer cartridge
A3EUD541ZM0R0R,5,Just what I needed
AMNTZU1YQN1TH,5,Scratchy bass guitar pot scratchy no more
AXWB93VKVML6K,5,This stuff is great
A19JA9J3BFBKNO,3,kinda worked kinda didn't
AKYDGCKCY7H9F,5,Works on potentiometers
AKLDKUON6YY0X,5,Good stuff
A2SH4497XM1HET,5,Cleaned the pots on my bass just fine.
A1LQC225SE8UNI,5,Good usable mic
A2QDVOUXE4PYIM,5,good microphone
A12YXGXV4MATDS,4,Very Satisfied...
A1RHGZOBDC3WQF,5,Excellent All-purpose Mic
A6FIAB28IS79,4,Good enough for professional use
A20EZ7E8WUH2GZ,4,Nice Surprise
A3HLW3G0TA8GX1,4,"Good value, not the best quality"
A1FI4UL6C50NZJ,4,"Cables are good for studio use, but"
A223S6N0DBQBHP,5,Great deal for the money I paid!!!
A10KH8EN77ZKWH,4,"Cheap, works; strong butyl rubber smell, thin cable."
A34LQ791ACZ0JC,4,Fair quality
A31XY5BETE8DUC,3,Thin cables...
A1C92KYEEU1T0G,4,This Microphone is Great for Beginners
A2JN6080LXS12H,4,Good for the Price
A2EWLWNMF65J5X,5,Good quality as you would expect from Shure
A1K8E597YAFQQG,5,"Great Mic, Great Deal!"
A2N4QZ92NBKJZZ,4,Buy This!
A3TJMZ2YFNECYN,4,Good Mic for the Price
A2MR43RDPZX3J,4,Unbiased review
A3VVKC910FN4EK,5,Very Good Lead vocal microphone
A3IICSS30MRX9M,5,Great so far.
A34LQ791ACZ0JC,4,Good Mic
A6FIAB28IS79,4,Shure quality and construction but not quite equal to the SM58
A18X6ZT4AEYVKB,5,good mic
A2LSR40ZH18TPH,5,Classic that delivers
A7E0CJH464L82,5,This is the best f... mic ever
A2KI91IR3RA7D0,5,Best all around for over 30 years!
A2DKLC2FJTY9OI,5,Best in price range
A1MI9FDCNB3CMR,5,Industry Standard
A37AQI4AU3JWSR,5,Classic. the last of Shures good mics
A37U8NH2CD9EDX,5,"It's an SM57, what's there to say?"
A319B090A2POEB,4,The old stand by
A34IJACMU8C3IM,4,One Half Of Shure's Long Lasting Dynamic Duo
A217QN6PDMKS1A,5,The standard
